playerID,year,stint,tmID,rebounds,assists,blocks,dq,PostAssists,PostBlocks,PostDQ,franchID,pos,height,points_per_minute,steals_per_minute,PF_per_minute,turnovers_per_minute,fgRate,ftRate,threeRate,PostfgRate,PostftRate,PostthreeRate,PostPoints_per_minute,PostRebounds_per_minute,PostSteals_per_minute,PostTurnovers_per_minute,PostPF_per_minute,minutes_per_game,Postminutes_per_game
snowmi01w,3,0,HOU,119.0,13.0,26.0,0.0,4.0,2.0,0.0,HOU,C,77.0,0.2604166666666667,0.025,0.12291666666666666,0.04583333333333333,0.46875,0.5964912280701754,0.5,0.3333333333333333,0.875,0.0,0.24050632911392406,0.26582278481012656,0.0,0.06329113924050633,0.11392405063291139,15.0,26.333333333333332
snowmi01w,4,0,HOU,263.0,42.0,62.0,2.0,5.0,4.0,0.0,HOU,C,77.0,0.30634146341463414,0.03414634146341464,0.11707317073170732,0.06634146341463415,0.4980237154150198,0.7294117647058823,0.0,0.4,0.625,0.0,0.2808988764044944,0.3258426966292135,0.0449438202247191,0.056179775280898875,0.11235955056179775,30.147058823529413,29.666666666666668
snowmi01w,5,0,HOU,239.0,31.0,35.0,0.0,0.0,0.0,0.0,HOU,C,77.0,0.3090705487122061,0.03135498320268757,0.09966405375139978,0.07950727883538634,0.45414847161572053,0.6017699115044248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.806451612903224,0.0
snowmi01w,6,0,HOU,225.0,40.0,38.0,4.0,4.0,3.0,0.0,HOU,C,77.0,0.40993788819875776,0.020703933747412008,0.12422360248447205,0.06728778467908902,0.5507246376811594,0.7076923076923077,0.0,0.5294117647058824,0.6956521739130435,0.0,0.34210526315789475,0.17763157894736842,0.03289473684210526,0.10526315789473684,0.09868421052631579,29.272727272727273,30.4
snowmi01w,7,0,HOU,269.0,47.0,38.0,3.0,4.0,6.0,0.0,HOU,C,77.0,0.4442211055276382,0.033165829145728645,0.12160804020100502,0.08844221105527639,0.5100286532951289,0.6666666666666666,0.0,0.5882352941176471,0.9166666666666666,0.0,0.543859649122807,0.21052631578947367,0.03508771929824561,0.03508771929824561,0.15789473684210525,29.264705882352942,28.5
snowmi01w,8,0,HOU,230.0,47.0,35.0,1.0,0.0,0.0,0.0,HOU,C,77.0,0.4103139013452915,0.020179372197309416,0.11995515695067265,0.10201793721973094,0.49295774647887325,0.7678571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.235294117647058,0.0
snowmi01w,9,0,HOU,230.0,43.0,31.0,3.0,0.0,0.0,0.0,HOU,C,77.0,0.3925233644859813,0.02102803738317757,0.12967289719626168,0.07476635514018691,0.5294117647058824,0.6974789915966386,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.176470588235293,0.0
snowmi01w,10,0,ATL,145.0,17.0,17.0,0.0,1.0,2.0,0.0,ATL,C,77.0,0.36779324055666,0.02982107355864811,0.14512922465208747,0.0775347912524851,0.4785714285714286,0.7611940298507462,0.0,0.3,0.6,0.0,0.2727272727272727,0.24242424242424243,0.0,0.06060606060606061,0.09090909090909091,14.794117647058824,16.5
spencsi01w,8,0,LAS,138.0,42.0,11.0,0.0,0.0,0.0,0.0,LAS,G,75.0,0.39492753623188404,0.03260869565217391,0.10386473429951691,0.042270531400966184,0.3933333333333333,0.8809523809523809,0.43902439024390244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.352941176470587,0.0
spencsi01w,9,0,LAS,62.0,18.0,4.0,0.0,1.0,1.0,0.0,LAS,G,75.0,0.3858093126385809,0.031042128603104215,0.10643015521064302,0.050997782705099776,0.4064516129032258,0.9444444444444444,0.38271604938271603,0.25,1.0,0.0,0.14583333333333334,0.1875,0.0,0.0625,0.10416666666666667,13.666666666666666,9.6
spencsi01w,10,0,NYL,38.0,15.0,1.0,0.0,0.0,0.0,0.0,NYL,G,75.0,0.2911764705882353,0.01764705882352941,0.07058823529411765,0.026470588235294117,0.38636363636363635,1.0,0.38596491228070173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.303030303030303,0.0
spornra01w,2,0,DET,52.0,11.0,4.0,0.0,0.0,0.0,0.0,DET,F,74.0,0.15471698113207547,0.026415094339622643,0.06037735849056604,0.04905660377358491,0.40425531914893614,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.521739130434783,0.0
stafftr01w,2,0,HOU,85.0,16.0,2.0,0.0,1.0,2.0,0.0,HOU,F,73.0,0.3095890410958904,0.03287671232876712,0.11506849315068493,0.07123287671232877,0.36792452830188677,0.6730769230769231,0.0,0.2,0.5,0.0,0.25,0.1875,0.125,0.0,0.1875,12.166666666666666,8.0
stafftr01w,3,0,MIA,6.0,2.0,0.0,0.0,0.0,0.0,0.0,MIA,F,73.0,0.21052631578947367,0.02631578947368421,0.13157894736842105,0.15789473684210525,0.16666666666666666,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.333333333333333,0.0
staleda01w,1,0,CHA,77.0,190.0,1.0,1.0,0.0,0.0,0.0,CHA,G,66.0,0.25659690627843496,0.03366696997270246,0.07279344858962693,0.08280254777070063,0.3715415019762846,0.8783783783783784,0.32954545454545453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.34375,0.0
staleda01w,2,0,CHA,71.0,179.0,1.0,0.0,35.0,2.0,0.0,CHA,G,66.0,0.2586805555555556,0.04513888888888889,0.046875,0.08680555555555555,0.3807829181494662,0.8947368421052632,0.3707865168539326,0.4155844155844156,0.8095238095238095,0.5,0.3122923588039867,0.059800664451827246,0.029900332225913623,0.11295681063122924,0.06312292358803986,36.0,37.625
staleda01w,3,0,CHA,56.0,164.0,0.0,0.0,10.0,0.0,0.0,CHA,G,66.0,0.26201696512723843,0.04524033930254477,0.06314797360980208,0.07540056550424128,0.36363636363636365,0.7623762376237624,0.39759036144578314,0.2857142857142857,0.5,0.2,0.21794871794871795,0.0641025641025641,0.038461538461538464,0.05128205128205128,0.02564102564102564,33.15625,39.0
staleda01w,4,0,CHA,58.0,174.0,4.0,0.0,7.0,0.0,0.0,CHA,G,66.0,0.24769797421731124,0.04511970534069982,0.06998158379373849,0.0718232044198895,0.4166666666666667,0.8356164383561644,0.3888888888888889,0.35294117647058826,0.4,0.5,0.3103448275862069,0.08620689655172414,0.06896551724137931,0.06896551724137931,0.10344827586206896,31.941176470588236,29.0
staleda01w,5,0,CHA,58.0,171.0,2.0,0.0,0.0,0.0,0.0,CHA,G,66.0,0.2642169728783902,0.03762029746281715,0.0726159230096238,0.0647419072615923,0.43089430894308944,0.7586206896551724,0.4067796610169492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.61764705882353,0.0
staleda01w,6,1,CHA,53.0,121.0,0.0,0.0,0.0,0.0,0.0,CHA,G,66.0,0.2134502923976608,0.043859649122807015,0.06871345029239766,0.06140350877192982,0.40458015267175573,0.7666666666666667,0.40476190476190477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.73913043478261,0.0
staleda01w,6,2,HOU,17.0,28.0,1.0,1.0,14.0,0.0,0.0,HOU,G,66.0,0.1493212669683258,0.027149321266968326,0.10407239819004525,0.05429864253393665,0.35714285714285715,0.9,0.2857142857142857,0.46153846153846156,0.8571428571428571,0.375,0.168,0.032,0.072,0.056,0.072,22.1,25.0
staleda01w,7,0,HOU,75.0,133.0,5.0,0.0,2.0,0.0,0.0,HOU,G,66.0,0.2455795677799607,0.0343811394891945,0.04911591355599214,0.07465618860510806,0.42,0.8055555555555556,0.4274193548387097,0.14285714285714285,0.0,0.3333333333333333,0.075,0.125,0.0,0.1,0.025,29.941176470588236,20.0
